ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg,Label
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,al_pn-7,2
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,2
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scxp-xnf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,2
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,2
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,2
10015,southwest alabama medical center,33700 highway 43,thomasville,al,36784,clarke,3346366221,acute care hospitals,government - federal,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_axi-1,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_ami-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,
1xx16,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_ami-8a,2
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-1,heart failure patients given discharge instructions,al_hf-1,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,2
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,xeart failure,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-4,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acutexcarexhospitals,voluntary non-profit - church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,2
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,al_pn-4,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,2
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,al_pn-7,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,2
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,
10016,shelby baptist medical center,1000 first street north,alabaster,al,35007,shelby,2056208100,acuxe care hospixals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_ami-1,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_ami-2,2
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_ami-8a,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,al_hf-1,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-4,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,al_pn-4,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10018,callahan eye foundation hospital,1720 university blvd,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,al_pn-7,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,children s asthma care,cac-2,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,al_cac-2,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,children s asthma care,cac-3,children and their caregivers who received a home management plan of care document while hospitalized for asthma,al_cac-3,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_ami-1,2
100x8,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_ami-2,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_ami-8a,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given discharge instructions,al_hf-1,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-4,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,al_pn-4,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,2
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,al_pn-7,
10038,stringfellow memorial hospital,301 east 18th st,anniston,al,36201,calhoun,2562358900,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,
10055,flowers hospital,4370 west main street,dothan,al,3x305,houston,3347935000,acute care hospitals,proxrietary,yex,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-4,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,al_pnx2,2
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,al_pn-4,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,2
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,al_pn-7,
10055,flowers hospital,4370 west main street,dothan,al,x6x05,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_scip-inf-2,2
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,2
10055,flowers hospital,4370 west main street,dothan,al,36305,houston,3347935000,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scipxvtex2,
10056,st vincents hospital,810 st vincents drive,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_ami-1,
10056,st vincents hospital,810 st vincents drive,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,amix2,heart attack patients given aspirin at discharge,al_ami-2,
10056,st vincents hospital,810 st vxncents drxve,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,2
10056,st vincents hospital,810 st vincents drive,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,
10056,st vincents hospital,810 st vincents drive,birmingham,al,35205,jefferson,2059397000,acute care hospitals,voluntary non-profit - other,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10085,decatur general hospital,1201 7th street se,decatur,al,35609,morgan,2563412000,acute care hospitals,government - hospital district or authority,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_ami-1,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_ami-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,prxprietary,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,
100x6,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_ami-8a,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart failure,hf-1,heart failure patients given discharge instructions,al_hf-1,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,al_hf-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_hf-3,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,al_hf-4,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,al_pn-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pnxumonia,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,al_pn-3b,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,al_pn-4,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,al_pn-5c,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pnexmonia,pn-6,pneumonia patients given the most appropriate initial antibiotic(s),al_pn-6,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,pneumonia,pn-7,pneumonia patients assessed and given influenza vaccination,alxpn-7,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-card-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,al_scip-inf-1,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,al_sxip-inf-2,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),al_scip-inf-3,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,al_scip-inf-4,2
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),al_scip-inf-6,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,al_scip-vte-1,
10086,northwest medical center,1530 u s highway 43,winfield,al,35594,marion,2054877736,acute care hospitals,proprietary,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,al_scip-vte-2,
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,al_ami-1,
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,al_ami-2,2
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,25x47x7xx0,acute care hospitals,government - state,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),al_ami-3,
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,al_ami-4,
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,al_ami-5,
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,25x47x7xx0,acute care hospitals,government - state,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_ami-7a,2
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,2514717110,acute care hospitals,government - state,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_ami-8a,2
10087,univ of south alabama medical center,2451 fillingim street,mobile,al,36617,mobile,25x47x7xx0,acute care hospitals,government - state,yes,hxart failurx,hf-1,heart failure patients given discharge instructions,al_hf-1,2
